Resultseientific,Resultseientific,TX_ID
0.143200,1.4320 x 10^-1,985
-8457.000000,-8.4570 x 10^3,396
0.000000,0.0000 x 10^0,1287
0.824500,8.2450 x 10^-1,363
877.000000,8.7700 x 10^2,1064
-3471.000000,-3.4710 x 10^3,303
1403840.000000,1.4038 x 10^6,431
0.000000,0.0000 x 10^0,972
0.000000,0.0000 x 10^0,489
0.040400,4.0400 x 10^-2,293
0.059800,5.9800 x 10^-2,47
110495.000000,1.1050 x 10^5,118
0.075800,7.5800 x 10^-2,409
580.000000,5.8000 x 10^2,937
5199.000000,5.1990 x 10^3,245
4747768.000000,4.7478 x 10^6,917
0.028900,2.8900 x 10^-2,397
379.000000,3.7900 x 10^2,294
0.000000,0.0000 x 10^0,370
0.181800,1.8180 x 10^-1,246
0.000000,0.0000 x 10^0,352
0.108500,1.0850 x 10^-1,295
2973054.000000,2.9731 x 10^6,398
-5540.000000,-5.5400 x 10^3,371
229.000000,2.2900 x 10^2,249
0.000000,0.0000 x 10^0,354
0.000000,0.0000 x 10^0,402
281.000000,2.8100 x 10^2,248
-7250.000000,-7.2500 x 10^3,351
1063.000000,1.0630 x 10^3,206
-792.000000,-7.9200 x 10^2,169
1060483.000000,1.0605 x 10^6,304
6668360.000000,6.6684 x 10^6,256
6039550.000000,6.0396 x 10^6,360
0.106300,1.0630 x 10^-1,375
0.000000,0.0000 x 10^0,364
0.000000,0.0000 x 10^0,336
686.000000,6.8600 x 10^2,258
0.013700,1.3700 x 10^-2,365
7983.000000,7.9830 x 10^3,305
0.000000,0.0000 x 10^0,306
0.000000,0.0000 x 10^0,411
8351.000000,8.3510 x 10^3,410
-5451.000000,-5.4510 x 10^3,366
-9164.000000,-9.1640 x 10^3,337
266.000000,2.6600 x 10^2,238
6869080.000000,6.8691 x 10^6,260
0.297400,2.9740 x 10^-1,412
780.000000,7.8000 x 10^2,259
5536.000000,5.5360 x 10^3,335
5771.000000,5.7710 x 10^3,413
-8497.000000,-8.4970 x 10^3,272
9119.000000,9.1190 x 10^3,307
0.000000,0.0000 x 10^0,343
0.000000,0.0000 x 10^0,274
-1011.000000,-1.0110 x 10^3,344
886.000000,8.8600 x 10^2,417
430.000000,4.3000 x 10^2,384
